Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2738275,3300,7.92,347,7.90,7.94,2733936,4339
FBTC,1749497,3000,36.70,20,36.39,36.42,1701051,48446
VXX,1180561,2600,14.95,935,14.93,14.94,1179117,1444
IEFA,679381,90,69.45,1,68.80,68.87,676654,2727
USHY,622816,2,36.31,692,36.09,36.27,487544,135272
GOVT,526790,35,23.04,5,22.60,22.74,526536,254
VIXY,489959,2200,14.91,1,14.86,14.90,484569,5390
ARKG,464927,500,29.00,15,28.36,28.83,463967,960
UVIX,350226,100,12.44,1300,12.39,12.45,344760,5466
INDA,340655,200,49.59,200,49.57,49.57,316943,23712
USMV,317206,59,80.00,1,68.68,79.38,315263,1943
SVXY,298282,20,105.50,700,105.20,105.27,241389,56893
ARKB,275133,400,41.84,25,41.73,41.75,245582,29551
CALF,228881,7,47.47,66,46.35,46.74,217456,11425
MOAT,208501,1,86.00,8,83.87,83.97,203337,5164
CBOE,199339,3,186.50,83,180.00,185.63,198902,437
COWZ,185696,1,51.75,50,50.97,51.25,183495,2201
NOBL,183582,3,95.00,250,93.00,93.96,180796,2786
ITB,176210,3,105.00,200,101.60,102.38,172346,3864
IGV,144297,1,420.00,10,400.25,418.37,144075,222
QUAL,137160,10,151.29,3,149.10,150.81,133272,3888
EZU,134189,115,48.79,1,45.77,46.18,133979,210
BBUS,129759,10,105.00,26,71.30,87.13,123897,5862
EFV,123827,100,52.78,3,50.32,51.03,122085,1742
FLOT,123403,700,50.86,0,0.00,50.84,115023,8380
TLTW,122938,170,26.56,200,26.52,26.55,122868,70
AAAU,109129,10100,20.10,32800,20.09,20.08,108139,990
WTAI,109008,0,0.00,2,18.00,20.27,109008,0
BITX,105937,12,21.98,8,21.00,21.33,99687,6250
SVIX,104560,40,38.80,500,38.36,38.52,95992,8568
ECH,100271,100,25.62,100,25.00,25.62,100271,0
BBJP,100228,9,54.40,10,53.00,53.95,94979,5249
BUFR,97680,0,0.00,0,0.00,26.85,97680,0
PAVE,89341,200,35.00,10,33.00,33.86,88242,1099
PAUG,75289,0,0.00,0,0.00,33.69,75289,0
MTUM,75056,7,165.00,2,132.15,164.58,63294,11762
IDV,73443,90,27.48,15,26.73,27.24,72089,1354
BBEU,71720,0,0.00,30,51.74,54.97,66832,4888
ITA,66796,1,122.00,2,120.40,121.71,65204,1592
EFG,61372,1,95.47,1,92.00,95.20,60988,384
GCOW,60161,0,0.00,10,33.12,33.48,59285,876
KNG,58415,13,52.00,1,50.19,51.22,55130,3285
ICSH,56798,7,50.55,44,50.50,50.51,54098,2700
VOTE,54564,0,0.00,8,54.90,56.44,54564,0
HYD,51120,0,0.00,50,46.45,50.83,50970,150
IAGG,51066,162,49.25,0,0.00,49.25,47566,3500
VLUE,50859,0,0.00,0,0.00,99.69,49444,1415
BBAX,50196,1,50.69,18,45.00,47.01,49169,1027
OMFL,46819,0,0.00,10,48.10,49.68,45688,1131
REM,44126,30,25.00,25,22.77,23.26,44126,0
EFAV,43626,1,75.40,0,0.00,68.69,43332,294
SPYI,42383,5,49.00,1000,48.82,48.86,42383,0
IYT,41225,85,262.56,1,253.65,258.82,40020,1205
BBIN,39076,15,60.00,0,0.00,55.90,39076,0
ACWV,38898,0,0.00,1,99.00,101.07,37378,1520
DFIC,37565,0,0.00,0,0.00,24.88,37565,0
SMIN,37504,0,0.00,2,72.10,72.21,37503,1
NVDX,35845,3000,47.06,300,46.89,47.12,35745,100
HEFA,35798,2,33.20,603,28.60,31.70,35598,200
EEMV,34303,0,0.00,1,50.00,54.04,33836,467
ITM,34223,1,56.05,0,0.00,46.34,33819,404
SING,33450,350,0.72,1000,0.66,0.67,33188,262
VNM,32115,200,13.00,2,12.90,12.93,29840,2275
ICF,28943,2,62.29,98,50.32,56.99,28943,0
RPHS,28920,0,0.00,0,0.00,9.05,28920,0
EZBC,27138,800,24.29,800,24.11,24.21,25838,1300
ESGV,26045,0,0.00,10,82.10,86.43,25745,300
FJAN,25886,0,0.00,0,0.00,40.15,25886,0
RDVI,25792,2,23.50,2,22.00,22.55,25698,94
BBCA,25254,2,68.00,0,0.00,63.15,24554,700
NUEM,24307,0,0.00,100,21.09,25.92,24007,300
JCPB,23896,3,57.50,0,0.00,46.54,23896,0
ICOW,23761,0,0.00,1,29.75,30.48,20351,3410
BTCO,23601,400,41.86,400,41.44,41.57,23601,0
CNYA,22112,0,0.00,200,24.00,24.38,17312,4800
DISV,21702,205,25.14,41,24.39,24.93,21420,282
VUSB,21319,350,49.56,1,49.52,49.54,21299,20
MLN,20907,0,0.00,0,0.00,17.86,20907,0
FBCG,20854,0,0.00,900,22.25,34.30,20852,2
GJAN,20443,0,0.00,0,0.00,34.63,20443,0
IYZ,20043,4,23.25,1,19.68,23.02,19956,87
IYJ,19404,21,113.50,0,0.00,113.44,19257,147
HODL,18533,400,47.47,400,46.93,47.21,18433,100
BUFD,18217,0,0.00,0,0.00,22.82,16607,1610
NEAR,18166,400,50.74,11136,50.50,50.58,18166,0
NULV,18113,100,39.15,100,32.65,35.91,18113,0
FMAG,17812,0,0.00,0,0.00,24.94,17612,200
ICVT,17798,4,105.00,27,77.00,77.37,17594,204
PICK,17619,35,44.00,13,39.11,39.53,17619,0
PJAN,16837,0,0.00,0,0.00,37.63,16337,500
DIHP,16804,0,0.00,0,0.00,25.10,16604,200
BUYW,16486,0,0.00,0,0.00,13.53,16486,0
FRDM,16378,0,0.00,250,26.74,30.83,16378,0
JMST,16355,0,0.00,20,49.77,50.73,16155,200
NVDQ,15941,4350,12.65,5440,12.60,12.63,15941,0
MSFX,15850,200,27.14,200,26.99,26.84,15850,0
IEO,15770,2,90.00,12,87.00,88.20,14870,900
ARKQ,15463,25,54.20,1,53.00,53.95,15463,0
SLVP,14999,20,8.90,40,8.62,8.84,14999,0
NUDM,14720,100,31.43,100,26.18,28.78,14554,166
IQDG,14661,0,0.00,0,0.00,35.40,14661,0
ICLO,14657,2000,25.71,2,25.50,25.68,11857,2800
LVHI,13989,0,0.00,4,27.41,27.53,13889,100
BOXX,13739,2365,105.51,244,105.43,105.44,13739,0
IGE,13733,44,43.00,131,36.81,38.89,12432,1301
XMAR,13378,0,0.00,0,0.00,32.96,13378,0
IZRL,13299,130,19.50,15,18.55,19.08,13299,0
EFUT,13173,0,0.00,200,22.01,22.51,11473,1700
BJAN,12701,0,0.00,0,0.00,41.34,12701,0
DJAN,12551,0,0.00,0,0.00,34.64,12551,0
JEMA,12278,0,0.00,0,0.00,34.52,12278,0
GOVZ,11801,10,13.75,2,9.40,11.23,10781,1020
BAUG,11285,0,0.00,0,0.00,36.39,9180,2105
DFIS,11121,0,0.00,0,0.00,23.37,8861,2260
PTLC,10903,0,0.00,0,0.00,43.94,10903,0
XSHD,10749,60,17.00,50,14.78,15.71,10749,0
FLBL,10350,0,0.00,0,0.00,24.39,10350,0
TMFS,10047,100,30.00,50,28.11,29.53,10046,1
NUMV,9963,1,32.00,0,0.00,30.79,9791,172
VIXM,9921,300,15.98,500,15.89,15.97,9912,9
JMUB,9916,0,0.00,15,50.54,50.58,9743,173
GDEC,9787,0,0.00,0,0.00,30.54,9787,0
JBBB,9747,0,0.00,250,47.75,48.51,9057,690
PSFF,9723,0,0.00,0,0.00,26.14,9309,414
SMMV,9721,0,0.00,1,31.78,35.38,9521,200
NANC,9301,0,0.00,16,30.00,31.95,9301,0
IFRA,9054,2,40.85,2,37.42,38.25,9054,0
QPFF,8941,0,0.00,0,0.00,36.23,8641,300
IMFL,8855,0,0.00,0,0.00,24.39,8855,0
DDLS,8694,0,0.00,0,0.00,32.33,8428,266
TBJL,8643,0,0.00,0,0.00,19.60,8643,0
ARKX,8545,96,14.90,200,14.38,14.46,8381,164
OUSA,8514,15,47.00,0,0.00,46.91,8513,1
OUSM,8380,0,0.00,3,38.00,39.19,8280,100
NJUL,8328,230,58.00,0,0.00,55.96,8328,0
NULG,7876,70,78.78,100,65.94,70.24,7876,0
UJAN,7850,0,0.00,0,0.00,34.75,7850,0
HYDB,7738,3,47.30,1,45.67,46.17,7738,0
PJUN,7726,0,0.00,0,0.00,33.69,5149,2577
TMFM,7724,0,0.00,0,0.00,24.93,7724,0
FLIA,7699,0,0.00,1,20.00,20.10,7599,100
IBHD,7522,0,0.00,20,23.23,23.32,7522,0
GSUS,7474,0,0.00,0,0.00,66.32,7474,0
FGRO,7097,0,0.00,1,19.00,19.48,6618,479
TMFC,7054,50,47.00,10,44.99,46.10,7020,34
SECT,7053,0,0.00,100,46.10,46.83,7053,0
SMDV,6835,0,0.00,0,0.00,62.09,6835,0
ESML,6794,0,0.00,0,0.00,36.90,6571,223
BUFF,6763,0,0.00,0,0.00,40.38,5763,1000
NUSC,6702,0,0.00,100,34.45,37.96,6702,0
MSVX,6561,0,0.00,0,0.00,24.06,6561,0
BBHY,6554,0,0.00,10,45.56,45.82,6554,0
SDVD,6548,0,0.00,0,0.00,20.55,4948,1600
QDEC,6502,0,0.00,0,0.00,24.10,6502,0
BALT,6251,0,0.00,0,0.00,28.71,5622,629
ISPY,5977,0,0.00,24,39.92,40.58,5277,700
CEFS,5858,3,19.50,10,18.40,18.84,5658,200
NUMG,5800,0,0.00,2,39.00,41.73,5800,0
BUFQ,5795,0,0.00,0,0.00,27.48,5795,0
FCLD,5743,1,24.00,2,19.55,23.00,5743,0
CEMB,5634,1,47.58,0,0.00,43.88,5534,100
DIVB,5576,0,0.00,1,40.00,41.01,5541,35
MSTB,5423,0,0.00,0,0.00,29.21,5423,0
IBHE,5371,2,26.57,200,23.16,23.23,5164,207
IBHF,5298,1,25.73,49,22.86,22.94,5198,100
SMMD,5197,410,65.56,10,44.75,59.87,5197,0
FLQM,5189,0,0.00,0,0.00,47.75,4465,724
HYHG,5176,0,0.00,0,0.00,63.03,5176,0
IGLD,5064,0,0.00,12,18.67,18.85,4798,266
VSGX,4992,4,56.00,8,48.20,54.01,4792,200
WFHY,4886,0,0.00,1,41.65,45.13,4886,0
QJUN,4835,0,0.00,0,0.00,24.56,2535,2300
BGLD,4787,0,0.00,0,0.00,18.57,3275,1512
SYLD,4735,0,0.00,100,52.87,66.52,4735,0
FDEC,4656,0,0.00,0,0.00,39.44,4656,0
HYXU,4612,0,0.00,0,0.00,48.87,4612,0
FLQL,4554,0,0.00,0,0.00,49.02,4176,378
IETC,4515,0,0.00,5,40.55,65.11,4315,200
PMAR,4497,0,0.00,0,0.00,35.85,2497,2000
BBRE,4479,0,0.00,0,0.00,87.18,4479,0
VCEB,4293,0,0.00,5,62.51,62.75,2593,1700
ISDB,4139,0,0.00,0,0.00,25.02,4139,0
EMGF,4127,0,0.00,0,0.00,41.36,4127,0
ACIO,4126,0,0.00,0,0.00,33.67,4126,0
HYBL,4087,0,0.00,25,27.93,28.09,4087,0
PRNT,4035,27,21.90,1,18.88,21.82,4035,0
XBTF,3988,250,45.00,119,37.00,39.49,3888,100
PMAY,3884,0,0.00,0,0.00,31.76,3884,0
PBUS,3864,0,0.00,10,47.33,48.34,3864,0
KJAN,3859,0,0.00,0,0.00,33.63,3859,0
UMAY,3777,0,0.00,0,0.00,29.61,3777,0
UAUG,3743,0,0.00,0,0.00,31.07,3743,0
XMPT,3734,4,25.95,0,0.00,20.87,3734,0
STLG,3730,0,0.00,0,0.00,42.65,3730,0
REGL,3729,12,78.51,0,0.00,72.25,3729,0
SATO,3711,200,14.79,50,9.00,10.80,3464,247
SMB,3704,2,18.68,0,0.00,17.02,3625,79
FLHY,3547,1,23.65,1,23.20,23.45,3547,0
TDV,3478,0,0.00,10,54.90,69.32,3478,0
FFEB,3469,0,0.00,0,0.00,43.13,3369,100
AJAN,3460,0,0.00,4,24.32,24.46,3460,0
QMAR,3434,0,0.00,0,0.00,25.77,3434,0
GAUG,3432,0,0.00,0,0.00,31.84,3432,0
SMOT,3357,0,0.00,1,24.79,30.64,3357,0
FDRV,3345,0,0.00,2,14.19,14.40,3345,0
FMIL,3217,0,0.00,0,0.00,36.76,3217,0
PTMC,3192,0,0.00,0,0.00,32.38,3190,2
FRNW,3175,0,0.00,35,14.00,14.77,3175,0
MARZ,3140,0,0.00,0,0.00,28.23,3140,0
XBJA,3111,0,0.00,0,0.00,26.01,3111,0
OMFS,3098,0,0.00,0,0.00,36.37,3098,0
JPLD,3042,0,0.00,0,0.00,50.68,3042,0
DDEC,3017,0,0.00,0,0.00,36.07,3017,0
JPIB,3017,0,0.00,0,0.00,47.44,3017,0
XSHQ,2964,0,0.00,5,35.58,38.78,2964,0
EMHY,2953,3,37.89,1,34.46,36.08,2953,0
FSEP,2910,0,0.00,0,0.00,40.63,2910,0
VFQY,2885,0,0.00,25,114.55,126.66,2838,47
TOKE,2846,100,6.05,20,5.25,5.71,2846,0
EYLD,2824,1,33.50,90,29.41,29.98,2824,0
PFEB,2813,1,33.22,0,0.00,32.88,2813,0
FBCV,2809,11,31.00,0,0.00,28.82,2809,0
SHYD,2739,0,0.00,0,0.00,22.00,2739,0
PSEP,2680,0,0.00,0,0.00,35.10,2680,0
HYGW,2662,19,33.69,5,33.31,33.57,2662,0
FMAR,2651,0,0.00,0,0.00,38.02,2651,0
FLDR,2645,100,50.25,0,0.00,49.99,2448,197
DMAR,2631,0,0.00,0,0.00,34.01,2631,0
IGEB,2631,0,0.00,20,44.50,44.79,2524,107
PDEC,2623,0,0.00,0,0.00,35.39,2623,0
VXZ,2616,400,13.82,600,13.76,13.85,2615,1
IBMN,2592,0,0.00,0,0.00,26.45,2592,0
MOTI,2581,0,0.00,0,0.00,29.50,2581,0
GJUL,2576,0,0.00,0,0.00,32.41,2576,0
XUSP,2502,0,0.00,0,0.00,31.15,2502,0
XDSQ,2479,0,0.00,0,0.00,29.96,2479,0
KAPR,2462,0,0.00,0,0.00,28.44,2462,0
XJUN,2459,0,0.00,0,0.00,35.38,2459,0
JUCY,2443,200,23.95,0,0.00,23.80,2443,0
PJUL,2439,0,0.00,0,0.00,36.52,2439,0
FAPR,2422,0,0.00,0,0.00,35.31,2422,0
NAPR,2402,0,0.00,0,0.00,44.78,2402,0
ZIVB,2390,0,0.00,0,0.00,23.67,2390,0
BMAR,2371,0,0.00,0,0.00,40.09,2371,0
IYLD,2350,30,24.60,0,0.00,19.69,2350,0
SNOV,2332,0,0.00,0,0.00,20.88,2332,0
WUGI,2294,0,0.00,2,53.67,54.40,2294,0
GJUN,2288,0,0.00,0,0.00,32.10,2288,0
JANJ,2277,0,0.00,0,0.00,24.75,2277,0
OGIG,2251,60,37.00,2,34.70,36.55,2251,0
TTAI,2242,0,0.00,3,26.66,28.68,2242,0
LOCT,2181,0,0.00,0,0.00,24.17,2181,0
DAUG,2179,0,0.00,0,0.00,35.77,2179,0
INTL,2171,0,0.00,0,0.00,21.52,1971,200
DJUL,2133,0,0.00,0,0.00,36.90,2133,0
DDWM,2053,100,35.00,0,0.00,31.68,2008,45
FYLD,2042,0,0.00,0,0.00,25.67,1742,300
VFVA,2028,10,114.76,0,0.00,109.76,2028,0
HEGD,2014,0,0.00,0,0.00,19.57,2014,0
MSMR,1953,0,0.00,0,0.00,25.99,1953,0
XOCT,1933,0,0.00,0,0.00,32.17,1933,0
IGRO,1929,0,0.00,1,63.00,63.98,1929,0
ARKA,1895,1500,70.00,1,38.99,41.03,1895,0
MDEV,1893,0,0.00,0,0.00,20.12,1893,0
DINT,1884,0,0.00,0,0.00,17.44,1884,0
USEP,1882,0,0.00,0,0.00,31.65,1882,0
ENOR,1876,0,0.00,0,0.00,23.29,1876,0
FOCT,1875,0,0.00,0,0.00,39.27,1875,0
GSEW,1861,0,0.00,400,54.95,66.51,1861,0
UJUL,1823,0,0.00,0,0.00,30.61,1823,0
NJAN,1811,0,0.00,100,38.22,42.38,1811,0
TJUL,1800,2,27.50,50,22.00,25.79,1800,0
BTCW,1798,400,44.55,2500,43.95,44.38,1798,0
DUBS,1793,0,0.00,0,0.00,27.14,1793,0
BFEB,1790,0,0.00,0,0.00,37.17,1790,0
MPRO,1787,0,0.00,0,0.00,26.78,1787,0
BJUL,1783,0,0.00,0,0.00,38.00,1783,0
BAPR,1779,0,0.00,0,0.00,38.72,1779,0
DWLD,1765,0,0.00,0,0.00,28.72,1765,0
BJUN,1751,0,0.00,0,0.00,36.08,1751,0
PNOV,1738,0,0.00,0,0.00,34.71,1438,300
BUFB,1734,0,0.00,0,0.00,28.13,1734,0
MFUL,1697,3,22.49,0,0.00,20.79,1697,0
XJR,1685,0,0.00,0,0.00,36.87,1685,0
DRSK,1672,0,0.00,0,0.00,25.52,1672,0
GVI,1655,0,0.00,0,0.00,104.26,1655,0
EAOK,1640,0,0.00,0,0.00,24.63,1640,0
PSH,1633,0,0.00,0,0.00,50.46,1633,0
FCPI,1615,0,0.00,0,0.00,35.67,1615,0
ADFI,1604,0,0.00,0,0.00,8.55,1604,0
XISE,1599,0,0.00,0,0.00,30.70,1599,0
YBTC,1583,0,0.00,7,49.00,49.25,1396,187
SVAL,1564,0,0.00,0,0.00,29.48,1564,0
PAWZ,1557,36,54.50,200,42.81,50.48,1557,0
OILK,1541,600,43.15,600,42.79,43.05,1541,0
HYMU,1531,2,27.58,0,0.00,21.84,1531,0
ARKD,1516,0,0.00,1,28.50,30.88,1516,0
BRLN,1514,0,0.00,1,49.70,52.98,1414,100
DFNL,1480,0,0.00,0,0.00,29.57,1480,0
OSCV,1478,5,35.00,0,0.00,33.01,1379,99
TILT,1476,0,0.00,0,0.00,182.33,1476,0
BMAY,1474,0,0.00,0,0.00,34.29,1474,0
IAUF,1466,5,53.41,0,0.00,53.40,1466,0
DECZ,1450,0,0.00,0,0.00,32.26,1450,0
MYLD,1436,0,0.00,25,24.18,24.88,1436,0
DURA,1416,0,0.00,0,0.00,30.94,1416,0
GAA,1413,24,30.59,1,23.62,27.57,1413,0
